Player	TM	TOT	AVG	PS1	R0	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24
Tanner Bruhn	GEE	108	16%	43%	3%	24%	-	32%	3%	56%	13%	0%	26%	7%	69%	-	14%	4%	0%	28%	-	6%	8%	-	6%	4%	4%	5%	0%
Patrick Dangerfield	GEE	69	13%	0%	-	0%	-	-	-	-	0%	0%	14%	0%	9%	18%	4%	76%	11%	50%	-	14%	4%	10%	11%	-	-	8%	3%
Jack Bowes	GEE	20	8%	-	-	-	-	-	52%	0%	0%	0%	0%	0%	-	-	-	0%	-	0%	-	-	19%	-	-	-	-	-	-
Shannon Neale	GEE	51	7%	14%	0%	0%	-	0%	0%	0%	0%	26%	0%	0%	22%	4%	29%	20%	4%	0%	-	0%	31%	0%	14%	0%	4%	0%	12%
Jhye Clark	GEE	17	6%	4%	18%	15%	-	18%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3%	0%	0%	0%	0%	0%
Mitch Knevitt	GEE	5	6%	4%	0%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15%	-	-	-	-	-	-
Shaun Mannagh	GEE	44	5%	7%	0%	0%	-	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	-	0%	12%	0%	0%	7%	0%	36%	70%
Mark O'Connor	GEE	17	3%	0%	42%	0%	-	0%	-	0%	-	0%	0%	0%	0%	0%	11%	0%	0%	0%	-	0%	-	0%	0%	0%	0%	0%	0%
Gryan Miers	GEE	13	3%	-	0%	18%	-	18%	0%	0%	-	-	-	-	0%	11%	0%	0%	-	-	-	-	-	0%	0%	0%	0%	0%	0%
Oliver Dempsey	GEE	15	2%	4%	0%	0%	-	0%	0%	9%	0%	0%	0%	0%	0%	4%	0%	0%	0%	3%	-	3%	15%	0%	0%	0%	0%	3%	9%
Tom Stewart	GEE	1	0%	0%	0%	0%	-	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	-	-	-	0%	0%	0%	0%	0%	4%	0%	0%
Clayton Oliver	GWS	515	75%	65%	83%	78%	72%	92%	-	85%	-	82%	83%	91%	77%	84%	84%	-	77%	83%	37%	76%	42%	59%	58%	74%	80%	85%	72%
Finn Callaghan	GWS	371	68%	-	83%	56%	80%	88%	-	79%	-	58%	74%	78%	88%	84%	74%	-	74%	79%	40%	85%	35%	41%	32%	-	-	-	-
Nicholas Madden	GWS	176	65%	65%	-	-	-	-	-	88%	-	48%	-	-	-	-	-	-	-	-	-	-	-	68%	76%	70%	72%	52%	49%
Kieren Briggs	GWS	346	64%	-	75%	56%	72%	88%	-	-	-	-	48%	66%	73%	79%	81%	-	77%	75%	37%	85%	85%	-	-	30%	28%	48%	51%
Brent Daniels	GWS	147	48%	-	-	-	-	-	-	3%	-	18%	26%	34%	50%	77%	71%	-	84%	92%	23%	-	-	-	-	-	-	-	-
